Rndrng_Prvdr_City,Rndrng_Prvdr_State_Abrvtn,zip,derm_provider_count,irs_estimated_population,derm_to_pop_ratio,derm_to_pop_percent
Aguadilla,PR,603.0,1,3269489,inf,inf
Arecibo,PR,612.0,2,0.0,inf,inf
Dorado,PR,646.0,2,0.0,inf,inf
Manati,PR,674.0,2,0.0,inf,inf
Mayaguez,PR,680.0,1,0.0,inf,inf
Mayaguez,PR,682.0,1,0.0,inf,inf
San German,PR,683.0,2,0.0,inf,inf
Aibonito,PR,705.0,1,0.0,inf,inf
Ponce,PR,717.0,2,0.0,inf,inf
Caguas,PR,725.0,3,0.0,inf,inf
Caguas,PR,726.0,1,0.0,inf,inf
Caguas,PR,727.0,2,0.0,inf,inf
Coto Laurel,PR,780.0,1,0.0,inf,inf
Corozal,PR,783.0,1,0.0,inf,inf
Humacao,PR,791.0,1,0.0,inf,inf
Christiansted,VI,820.0,1,98400,inf,inf
San Juan,PR,901.0,1,0.0,inf,inf
San Juan,PR,907.0,3,0.0,inf,inf
San Juan,PR,909.0,1,0.0,inf,inf
Santurce,PR,909.0,1,0.0,inf,inf
Hato Rey,PR,917.0,1,0.0,inf,inf
San Juan,PR,917.0,2,0.0,inf,inf
Hato Rey,PR,918.0,1,0.0,inf,inf
San Juan,PR,918.0,8,0.0,inf,inf
San Juan,PR,919.0,1,0.0,inf,inf
Rio Piedras,PR,921.0,2,0.0,inf,inf
Rio Piedras,PR,923.0,1,0.0,inf,inf
San Juan,PR,923.0,1,0.0,inf,inf
San Juan,PR,926.0,2,0.0,inf,inf
San Juan,PR,936.0,1,0.0,inf,inf
Bayamon,PR,959.0,3,0.0,inf,inf
Bayamon,PR,960.0,2,0.0,inf,inf
Bayamon,PR,961.0,3,0.0,inf,inf
Guaynabo,PR,966.0,1,0.0,inf,inf
Guaynabo,PR,969.0,3,0.0,inf,inf
Carolina,PR,982.0,1,0.0,inf,inf
Carolina,PR,983.0,4,0.0,inf,inf
Carolina,PR,985.0,1,0.0,inf,inf
Carolina,PR,988.0,1,0.0,inf,inf
Amherst,MA,1002.0,1,16620.0,6.016847172081829e-05,0.0060168471720818285
Chicopee,MA,1020.0,1,25820.0,3.872966692486444e-05,0.0038729666924864443
Northampton,MA,1060.0,1,11180.0,8.944543828264758e-05,0.008944543828264758
Wilbraham,MA,1095.0,1,14320.0,6.983240223463687e-05,0.006983240223463687
Springfield,MA,1103.0,1,1620.0,0.0006172839506172839,0.06172839506172839
Springfield,MA,1107.0,8,8220.0,0.0009732360097323601,0.09732360097323602
Pittsfield,MA,1201.0,1,37770.0,2.6476039184537995e-05,0.0026476039184537997
Great Barrington,MA,1230.0,1,6310.0,0.0001584786053882726,0.01584786053882726
North Adams,MA,1247.0,1,11360.0,8.802816901408451e-05,0.008802816901408451
Williamstown,MA,1267.0,1,5250.0,0.00019047619047619048,0.01904761904761905
Ayer,MA,1432.0,1,7500.0,0.00013333333333333334,0.013333333333333334
Leominster,MA,1453.0,1,39260.0,2.5471217524197657e-05,0.0025471217524197657
Auburn,MA,1501.0,1,15850.0,6.309148264984228e-05,0.006309148264984228
Shrewsbury,MA,1545.0,1,36390.0,2.7480076944215445e-05,0.0027480076944215444
Westborough,MA,1581.0,1,20150.0,4.9627791563275434e-05,0.004962779156327543
Worcester,MA,1605.0,23,22330.0,0.0010300044782803404,0.10300044782803404
Worcester,MA,1606.0,1,18480.0,5.411255411255411e-05,0.005411255411255411
Worcester,MA,1608.0,1,3530.0,0.00028328611898016995,0.028328611898016994
Worcester,MA,1655.0,1,0.0,inf,inf
Framingham,MA,1701.0,1,30790.0,3.247807729782397e-05,0.003247807729782397
Framingham,MA,1702.0,4,29090.0,0.00013750429700928155,0.013750429700928156
Acton,MA,1720.0,1,22680.0,4.409171075837743e-05,0.004409171075837743
Bedford,MA,1730.0,1,13920.0,7.183908045977011e-05,0.007183908045977011
Concord,MA,1742.0,16,17740.0,0.0009019165727170237,0.09019165727170236
Marlborough,MA,1752.0,7,36490.0,0.00019183337900794737,0.019183337900794736
Milford,MA,1757.0,3,26690.0,0.00011240164855751218,0.011240164855751217
Natick,MA,1760.0,2,34450.0,5.8055152394775034e-05,0.005805515239477504
Burlington,MA,1803.0,7,25110.0,0.00027877339705296696,0.027877339705296697
Burlington,MA,1805.0,7,0.0,inf,inf
Andover,MA,1810.0,2,34590.0,5.782017924255565e-05,0.005782017924255565
Chelmsford,MA,1824.0,7,26230.0,0.0002668699961875715,0.02668699961875715
Haverhill,MA,1830.0,1,23250.0,4.301075268817204e-05,0.004301075268817204
North Andover,MA,1845.0,6,28320.0,0.000211864406779661,0.0211864406779661
Lowell,MA,1851.0,1,28690.0,3.4855350296270476e-05,0.0034855350296270475
Lowell,MA,1854.0,1,20420.0,4.897159647404505e-05,0.004897159647404505
Westford,MA,1886.0,3,25280.0,0.00011867088607594936,0.011867088607594936
Winchester,MA,1890.0,7,22230.0,0.0003148897885739991,0.031488978857399916
Swampscott,MA,1907.0,2,14310.0,0.0001397624039133473,0.01397624039133473
Beverly,MA,1915.0,14,35780.0,0.0003912800447177194,0.03912800447177194
Marblehead,MA,1945.0,1,19990.0,5.002501250625313e-05,0.005002501250625313
Newburyport,MA,1950.0,1,17120.0,5.841121495327103e-05,0.0058411214953271035
Peabody,MA,1960.0,2,48770.0,4.1008816895632564e-05,0.004100881689563256
Salem,MA,1970.0,2,36940.0,5.4141851651326476e-05,0.005414185165132647
Canton,MA,2021.0,2,22600.0,8.849557522123894e-05,0.008849557522123894
Dedham,MA,2026.0,1,23340.0,4.2844901456726646e-05,0.004284490145672665
