Rndrng_NPI,Rndrng_Prvdr_Last_Org_Name,Rndrng_Prvdr_First_Name,Rndrng_Prvdr_MI,Rndrng_Prvdr_Crdntls,Rndrng_Prvdr_Gndr,Rndrng_Prvdr_Ent_Cd,Rndrng_Prvdr_St1,Rndrng_Prvdr_St2,Rndrng_Prvdr_City,Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_State_FIPS,Rndrng_Prvdr_Zip5,Rndrng_Prvdr_RUCA,Rndrng_Prvdr_RUCA_Desc,Rndrng_Prvdr_Cntry,Rndrng_Prvdr_Type,Rndrng_Prvdr_Mdcr_Prtcptg_Ind,HCPCS_Cd,HCPCS_Desc,HCPCS_Drug_Ind,Place_Of_Srvc,Tot_Benes,Tot_Srvcs,Tot_Bene_Day_Srvcs,Avg_Sbmtd_Chrg,Avg_Mdcr_Alowd_Amt,Avg_Mdcr_Pymt_Amt,Avg_Mdcr_Stdzd_Amt
1003003153,Morrison,Laura,,MD,F,I,904 7th Ave,,Seattle,WA,53,98104,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,136,146.0,146,258.4030137,97.878561644,73.091164384,73.010616438
1003010687,Perri,Anthony,J,MD,M,I,4015 Interstate 45 N Ste 200,,Conroe,TX,48,77304,1.1,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,1799,2142.0,2142,200.0,97.132469655,64.332371615,66.766671335
1003011404,Mccoppin,Holly,H,M.D.,F,I,3451 Mountain Lion Dr,,Loveland,CO,08,80537,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,10040,Acne surgery,N,O,12,14.0,14,243.85714286,105.66357143,80.641428571,76.269285714
1003013384,Osleber,Michael,F,MD,M,I,9601 Baptist Health Dr Ste 860,,Little Rock,AR,05,72205,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,193,268.0,268,117.61052239,66.115074627,50.910447761,57.031977612
1003014762,Wharton,Joshua,B,M.D.,M,I,2307 Homer Clayton Dr,,Guntersville,AL,01,35976,4.0,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,245,300.0,300,115.0,80.179,53.814966667,59.0921
1003015173,Beauchamp Bruno,Mayra,,M.D.,F,I,253 Pleasant St,,Concord,NH,33,3301,4.0,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,86,103.0,103,151.65048544,28.144757282,19.93961165,19.870873786
1003021973,Zhang,Alexandra,,MD,F,I,566 White Pond Dr,Suite E,Akron,OH,39,44320,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,36,37.0,37,198.96,90.06972973,69.901351351,73.468108108
1003033838,Ahern,Ryan,W,MD,M,I,1651 Rock Prairie Rd Ste 103,,College Station,TX,48,77845,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,37,45.0,45,200.0,97.220888889,75.996888889,78.074
1003038555,Pascoe,David,,M.D.,M,I,1903 Welby Way,,Tallahassee,FL,12,32308,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,91,101.0,101,204.84376238,94.610891089,69.98980198,71.708019802
1003043340,Lipton,Shira,B,M.D.,F,I,795 El Camino Real,,Palo Alto,CA,06,94301,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,11102,Tangential biopsy of single skin lesion,N,O,199,234.0,234,300.95512821,112.51538462,83.559017094,60.526965812
1003073958,Moe,Kathleen,M,MD,F,I,45 Thomas Johnson Drive,Suite 209,Frederick,MD,24,21702,1.1,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",US,Dermatology,Y,10040,Acne surgery,N,O,34,37.0,37,220.0,123.03,93.453513514,88.692702703
1003077363,Wilson,Cynthia,I,M.D.,F,I,8 Farmfield Ave Ste D,,Charleston,SC,45,29407,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,10060,Drainage of abscess,N,O,19,20.0,20,175.88,115.483,83.836,87.947
